node indices,X,Y,Z
0,0.253,-0.259,-0.133
1,0.446,-0.119,-0.381
2,0.472,-0.372,-0.133
3,0.705,-0.267,-0.133
4,0.643,0.141,-0.133
5,0.125,-0.035,-0.133
6,0.380,0.212,-0.133
7,0.267,0.467,-0.133
8,0.497,0.448,-0.381
9,0.681,0.625,-0.133
10,0.436,0.702,-0.133
11,0.863,0.446,-0.133
12,-0.285,0.272,-0.133
13,-0.081,0.413,-0.381
14,0.107,0.229,-0.133
15,-0.069,0.133,-0.133
16,-0.391,0.503,-0.133
17,-0.079,0.738,-0.133
18,0.092,-0.376,0.000
19,0.299,-0.543,0.000
20,0.564,-0.557,0.000
21,0.806,-0.440,0.000
22,0.859,-0.065,-0.133
23,0.992,-0.248,0.000
24,1.078,0.006,0.000
25,0.893,0.191,-0.133
26,1.090,0.275,0.000
27,1.039,0.538,0.000
28,0.863,0.740,0.000
29,0.627,0.867,0.000
30,0.361,0.906,0.000
31,0.178,0.712,-0.133
32,0.091,0.916,0.000
33,-0.176,0.955,0.000
34,-0.331,0.747,-0.133
35,-0.437,0.917,0.000
36,-0.577,0.693,0.000
37,-0.579,0.425,0.000
38,-0.468,0.181,0.000
39,-0.262,0.012,0.000
40,-0.043,-0.142,0.000
41,0.654,0.031,0.000
42,-0.080,0.516,-0.133
43,0.057,0.510,0.000
44,0.595,0.716,0.000
45,0.225,-0.021,0.000
46,0.358,-0.032,-0.133
47,-0.064,0.174,0.000
48,0.649,0.372,-0.133
49,0.703,0.360,0.000
50,-0.265,0.729,0.000
51,0.357,0.361,0.000
52,0.332,-0.293,0.000
53,0.802,-0.207,0.000
54,-0.203,0.477,0.000
55,0.276,0.736,0.000
56,0.026,0.783,0.000
57,0.144,0.192,0.000
58,0.459,-0.045,0.000
59,0.446,-0.119,-0.769
60,0.497,0.448,-0.769
61,-0.081,0.413,-0.769
